date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:29	48/48	---MCZ	200	added ('OK')	text/plain	etag:W/%2264057efa-1c%22	https://demos.adminmart.com/robots.txt		(from )
08:54:29	155817/155817	---MCZ	200	added ('OK')	text/html	etag:W/%22260a9-5fe8f086930c5%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index.html	(from )
08:54:30	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%226400977d-d17%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/libs/owl.carousel/dist/assets/owl.carousel.min.css	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/libs/owl.carousel/dist/assets/owl.carousel.min.css	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:30	155817/155817	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-260a9%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index-2.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:31	783504/783504	---MCZ	200	added ('OK')	text/css	etag:W/%2264919f86-bf490%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/css/style.min.css	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/css/style.min.css	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:31	158327/158327	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-26a77%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index2.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index2.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:31	157751/157751	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-26837%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index3.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index3.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:31	156008/156008	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-26168%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index4.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index4.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:31	164062/164062	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-280de%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index5.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index5.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:32	164413/164413	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2823d%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index6.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index6.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:32	156622/156622	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-263ce%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-calendar.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-calendar.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:32	181288/181288	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2c428%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-chat.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-chat.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:33	186509/186509	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2d88d%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-email.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-email.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:33	166024/166024	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-28888%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-notes.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-notes.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:33	152006/152006	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-251c6%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-contact.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-contact.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:33	180989/180989	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2c2fd%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-contact2.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-contact2.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:33	170493/170493	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-299fd%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-invoice.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-invoice.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:33	231005/231005	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-3865d%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/page-user-profile.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/page-user-profile.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
08:54:34	146936/146936	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-23df8%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/blog-posts.html	C:/laragon/www/template/modernize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/blog-posts.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
